timestamp,cpu_usage,memory_usage,disk_usage,disk_io,network_in,network_out,response_time,request_count,error_rate,active_users,service_name,region,deployment_version,day_of_week,hour,anomaly_type,is_anomaly,day,month,system_load,network_traffic
2026-07-10 00:00:00,48.6,56.2,70.0,59.5,20.7,16.2,100,949,0.011,421,payment-service,eu-central,v1.2.5,Friday,0.0,none,0,10.0,7.0,58.26666666666667,36.9
2026-07-10 00:05:00,45.3,55.4,69.8,31.5,15.4,14.0,120,1021,0.027,354,inventory-db,us-west,v1.2.4,Friday,0.0,none,0,10.0,7.0,56.833333333333336,29.4
2026-07-10 00:10:00,41.6,53.2,69.5,40.7,19.7,16.6,103,1107,0.003,373,auth-api,eu-central,v1.3.0-rc1,Friday,0.0,none,0,10.0,7.0,54.76666666666667,36.3
2026-07-10 00:15:00,42.6,53.6,70.6,64.4,24.3,13.1,107,1125,0.022,396,payment-service,us-east,v1.2.5,Friday,0.0,none,0,10.0,7.0,55.6,37.4
2026-07-10 00:20:00,40.0,55.8,70.2,55.5,17.4,15.7,126,1246,0.002,383,frontend-web,ap-southeast,v1.2.4,Friday,0.0,none,0,10.0,7.0,55.333333333333336,33.099999999999994
2026-07-10 00:25:00,47.6,56.7,70.0,46.9,17.8,17.7,96,1300,0.005,441,inventory-db,ap-southeast,v1.3.0-rc1,Friday,0.0,none,0,10.0,7.0,58.1,35.5
2026-07-10 00:30:00,46.5,56.8,69.8,23.3,21.7,15.0,115,1378,0.002,409,inventory-db,ap-southeast,v1.2.5,Friday,0.0,none,0,10.0,7.0,57.699999999999996,36.7
2026-07-10 00:35:00,46.4,56.3,69.6,56.7,18.4,18.1,135,876,0.004,384,auth-api,us-west,v1.2.5,Friday,0.0,none,0,10.0,7.0,57.43333333333333,36.5
2026-07-10 00:40:00,48.2,57.4,70.0,43.4,18.8,14.9,139,1304,0.001,383,payment-service,us-east,v1.3.0-rc1,Friday,0.0,none,0,10.0,7.0,58.53333333333333,33.7
2026-07-10 00:45:00,45.0,57.2,69.9,63.2,19.9,17.5,111,1070,0.005,336,inventory-db,us-east,v1.2.5,Friday,0.0,none,0,10.0,7.0,57.366666666666674,37.4
2026-07-10 00:50:00,37.1,54.5,70.9,27.9,17.9,15.0,153,914,0.041,417,auth-api,us-east,v1.3.0-rc1,Friday,0.0,none,0,10.0,7.0,54.166666666666664,32.9
2026-07-10 00:55:00,44.2,56.7,70.8,42.5,20.4,19.9,123,1224,0.007,399,frontend-web,us-west,v1.3.0-rc1,Friday,0.0,none,0,10.0,7.0,57.23333333333333,40.3
2026-07-10 01:00:00,53.8,57.2,70.1,54.4,24.6,20.1,112,1527,0.005,442,payment-service,us-west,v1.2.4,Friday,1.0,none,0,10.0,7.0,60.36666666666667,44.7
2026-07-10 01:05:00,46.5,56.6,69.2,67.9,19.6,16.0,115,930,0.007,420,frontend-web,us-west,v1.2.4,Friday,1.0,none,0,10.0,7.0,57.43333333333334,35.6
2026-07-10 01:10:00,55.6,57.2,70.0,59.1,30.0,16.0,155,1148,0.032,417,payment-service,us-west,v1.2.4,Friday,1.0,none,0,10.0,7.0,60.93333333333334,46.0
2026-07-10 01:15:00,49.4,58.5,70.1,65.9,16.9,16.8,132,1480,0.026,469,auth-api,eu-central,v1.2.5,Friday,1.0,none,0,10.0,7.0,59.333333333333336,33.7
2026-07-10 01:20:00,51.4,56.1,69.7,34.8,20.2,17.2,143,1016,0.009,446,inventory-db,ap-southeast,v1.2.4,Friday,1.0,none,0,10.0,7.0,59.06666666666666,37.4
2026-07-10 01:25:00,53.4,56.7,69.7,54.4,26.6,17.2,89,1216,0.004,406,payment-service,us-east,v1.3.0-rc1,Friday,1.0,none,0,10.0,7.0,59.93333333333334,43.8
2026-07-10 01:30:00,51.2,57.1,69.7,68.4,22.1,19.7,126,1452,0.007,444,inventory-db,eu-central,v1.2.4,Friday,1.0,none,0,10.0,7.0,59.333333333333336,41.8
2026-07-10 01:35:00,51.2,60.0,69.4,65.0,17.0,16.5,141,1285,0.024,487,auth-api,us-west,v1.2.4,Friday,1.0,none,0,10.0,7.0,60.20000000000001,33.5
2026-07-10 01:40:00,55.0,58.5,70.1,64.4,20.3,17.8,131,1276,0.008,445,inventory-db,ap-southeast,v1.2.4,Friday,1.0,none,0,10.0,7.0,61.199999999999996,38.1
2026-07-10 01:45:00,51.5,60.7,70.4,65.4,27.1,15.3,149,1691,0.014,492,payment-service,eu-central,v1.2.5,Friday,1.0,none,0,10.0,7.0,60.866666666666674,42.400000000000006
2026-07-10 01:50:00,52.7,59.9,69.4,47.1,22.3,19.9,130,1392,0.012,434,auth-api,us-west,v1.3.0-rc1,Friday,1.0,none,0,10.0,7.0,60.666666666666664,42.2
2026-07-10 01:55:00,49.1,58.2,70.1,64.1,23.3,12.4,151,1365,0.001,484,frontend-web,us-west,v1.3.0-rc1,Friday,1.0,none,0,10.0,7.0,59.13333333333333,35.7
2026-07-10 02:00:00,53.9,55.3,69.7,49.5,25.4,24.1,143,1184,0.017,497,payment-service,ap-southeast,v1.2.4,Friday,2.0,none,0,10.0,7.0,59.633333333333326,49.5
2026-07-10 02:10:00,53.5,57.0,69.5,69.1,27.8,19.0,130,1512,0.005,528,inventory-db,us-east,v1.2.5,Friday,2.0,none,0,10.0,7.0,60.0,46.8
2026-07-10 02:15:00,56.7,57.9,69.9,71.8,31.1,18.6,160,1759,0.029,544,frontend-web,eu-central,v1.2.5,Friday,2.0,none,0,10.0,7.0,61.5,49.7
2026-07-10 02:20:00,55.5,57.8,70.2,61.6,25.9,18.2,119,1678,0.012,515,auth-api,us-west,v1.2.5,Friday,2.0,none,0,10.0,7.0,61.166666666666664,44.099999999999994
2026-07-10 02:25:00,54.3,53.7,69.6,68.2,29.0,17.1,130,1109,0.007,523,auth-api,us-east,v1.2.5,Friday,2.0,none,0,10.0,7.0,59.199999999999996,46.1
2026-07-10 02:30:00,52.1,59.9,70.1,67.8,28.3,20.3,112,1276,0.022,471,auth-api,us-west,v1.2.5,Friday,2.0,none,0,10.0,7.0,60.699999999999996,48.6
2026-07-10 02:35:00,53.5,57.4,70.5,53.2,26.7,20.1,140,944,0.005,463,payment-service,us-east,v1.3.0-rc1,Friday,2.0,none,0,10.0,7.0,60.46666666666667,46.8
2026-07-10 02:40:00,57.9,55.7,70.0,61.2,32.2,20.8,141,1761,0.007,597,payment-service,ap-southeast,v1.2.5,Friday,2.0,none,0,10.0,7.0,61.199999999999996,53.0
2026-07-10 02:45:00,49.0,58.7,69.1,63.4,25.7,16.6,152,1450,0.012,516,auth-api,us-west,v1.2.4,Friday,2.0,none,0,10.0,7.0,58.93333333333334,42.3
2026-07-10 02:50:00,55.8,58.9,69.6,51.3,26.6,17.6,155,1406,0.002,512,payment-service,us-east,v1.2.5,Friday,2.0,none,0,10.0,7.0,61.43333333333333,44.2
2026-07-10 02:55:00,55.3,57.9,70.2,71.2,32.3,21.0,149,1338,0.003,519,auth-api,us-east,v1.2.5,Friday,2.0,none,0,10.0,7.0,61.133333333333326,53.3
2026-07-10 03:00:00,53.2,58.2,70.0,60.2,28.4,24.9,131,1522,0.01,527,auth-api,ap-southeast,v1.2.4,Friday,3.0,none,0,10.0,7.0,60.46666666666667,53.3
2026-07-10 03:05:00,54.0,57.5,70.3,63.8,28.4,25.4,159,1462,0.004,532,inventory-db,eu-central,v1.3.0-rc1,Friday,3.0,none,0,10.0,7.0,60.6,53.8
2026-07-10 03:10:00,47.8,56.0,69.2,84.5,24.2,20.0,167,1560,0.023,532,frontend-web,us-east,v1.2.5,Friday,3.0,none,0,10.0,7.0,57.666666666666664,44.2
2026-07-10 03:15:00,56.2,60.5,70.3,81.1,34.7,23.1,151,1342,0.01,551,inventory-db,us-west,v1.2.4,Friday,3.0,none,0,10.0,7.0,62.333333333333336,57.800000000000004
2026-07-10 03:20:00,48.9,61.5,69.6,78.0,30.4,19.3,158,1757,0.006,568,payment-service,us-west,v1.2.4,Friday,3.0,none,0,10.0,7.0,60.0,49.7
2026-07-10 03:25:00,60.1,54.7,70.2,65.5,31.3,21.7,142,1185,0.003,545,frontend-web,eu-central,v1.2.4,Friday,3.0,none,0,10.0,7.0,61.666666666666664,53.0
2026-07-10 03:30:00,55.0,57.5,70.3,68.7,28.3,22.9,170,1420,0.021,533,frontend-web,ap-southeast,v1.3.0-rc1,Friday,3.0,none,0,10.0,7.0,60.93333333333334,51.2
2026-07-10 03:35:00,58.8,61.0,69.6,71.8,29.2,25.4,175,1576,0.005,589,frontend-web,ap-southeast,v1.3.0-rc1,Friday,3.0,none,0,10.0,7.0,63.133333333333326,54.599999999999994
2026-07-10 03:40:00,59.2,61.2,70.7,64.9,27.5,24.0,137,1279,0.009,514,inventory-db,eu-central,v1.3.0-rc1,Friday,3.0,none,0,10.0,7.0,63.70000000000001,51.5
2026-07-10 03:50:00,56.3,56.6,70.4,82.8,25.5,23.4,139,1445,0.042,579,auth-api,ap-southeast,v1.2.5,Friday,3.0,none,0,10.0,7.0,61.1,48.9
2026-07-10 03:55:00,49.0,53.4,70.1,74.1,26.9,26.2,143,1770,0.013,550,auth-api,us-east,v1.2.4,Friday,3.0,none,0,10.0,7.0,57.5,53.099999999999994
2026-07-10 04:00:00,53.9,60.7,70.1,88.9,32.1,27.5,129,1352,0.01,539,frontend-web,us-west,v1.3.0-rc1,Friday,4.0,none,0,10.0,7.0,61.56666666666666,59.6
